feature,importance
shot_distance,100888.59093403816
loc_y,21327.01580762863
abs_loc_x,20823.664722323418
seconds_remaining_period,5576.593683719635
shot_value,5477.037809371948
shot_angle,4248.334881067276
player_recent_fg_pct_5,2539.98979640007
loc_x,2537.9009526968002
seconds_remaining_game,1935.21801841259
player_recent_points_5,1751.8640179634094
score_margin,1447.9189102649689
player_recent_minutes_5,1394.3823833465576
player_recent_fg3a_5,1376.5810706615448
team_recent_fg_pct_5,1354.977415561676
opp_recent_pace_proxy_5,1343.557792186737
opp_recent_fg_pct_allowed_5,1246.726027727127
team_recent_fga_5,1202.8562898635864
team_recent_three_point_rate_5,1199.5787130594254
team_recent_points_5,1195.4630175828934
player_recent_fg3_pct_5,1181.6452201604843
opp_recent_fga_allowed_5,1174.170568704605
player_recent_fga_5,1102.52689743042
opp_recent_three_point_rate_allowed_5,1081.6230195760727
team_recent_pace_proxy_5,973.5782819986343
opp_recent_points_allowed_5,930.4483187198639
team_recent_off_eff_proxy_5,921.444402217865
team_recent_turnovers_5,887.8665952682495
is_corner_three,669.5849685668945
period,199.2437891960144
is_home,95.7405800819397
score_margin_missing,0.0
