shot_zone_basic,shot_zone_area,shot_zone_range,attempts,made_shots,actual_fg_pct,expected_fg_pct,actual_points,expected_points,points_above_expected,points_above_expected_per_100_shots,avg_expected_shot_value,avg_shot_value
Above the Break 3,Back Court(BC),Back Court Shot,6,1,0.16666666666666666,0.1026862077414989,3.0,1.848351739346981,1.151648260653019,19.194137677550316,0.30805862322449684,3.0
Above the Break 3,Center(C),24+ ft.,3425,1223,0.35708029197080293,0.3591533015488926,3669.0,3689.587132466957,-20.587132466956973,-0.6010841596191817,1.0772517175086005,2.9994160583941607
Above the Break 3,Left Side Center(LC),24+ ft.,5389,1960,0.36370384115791426,0.3645712934637649,5880.0,5894.024101428688,-14.024101428687592,-0.26023569175519745,1.0937138803912947,3.0
Above the Break 3,Right Side Center(RC),24+ ft.,4838,1717,0.3548987184787102,0.3675692241069864,5151.0,5334.899718688801,-183.89971868880093,-3.8011516884828636,1.1027076723209592,3.0
Backcourt,Back Court(BC),Back Court Shot,93,2,0.021505376344086023,0.03462639903106411,6.0,9.660765329666898,-3.6607653296668983,-3.936306806093439,0.10387919709319245,3.0
In The Paint (Non-RA),Center(C),8-16 ft.,2728,1263,0.4629765395894428,0.4328442548867315,2526.0,2361.598254662007,164.4017453379929,6.026456940542262,0.865688509773463,2.0
In The Paint (Non-RA),Center(C),Less Than 8 ft.,5445,2448,0.44958677685950416,0.45474571814748593,4896.0,4952.180870626122,-56.18087062612176,-1.031788257596359,0.9094914362949719,2.0
In The Paint (Non-RA),Left Side(L),8-16 ft.,469,200,0.42643923240938164,0.42515300147569,400.0,398.79351538419724,1.2064846158027625,0.2572461867383289,0.85030600295138,2.0
In The Paint (Non-RA),Right Side(R),8-16 ft.,520,245,0.47115384615384615,0.4356050403072284,490.0,453.0292419195175,36.97075808048248,7.109761169323554,0.8712100806144568,2.0
Left Corner 3,Left Side(L),24+ ft.,2499,999,0.3997599039615846,0.3980962043622879,2997.0,2984.5272441040725,12.472755895927541,0.4991098797890173,1.1942886130868637,3.0
Mid-Range,Center(C),16-24 ft.,489,199,0.4069529652351738,0.41046069074871594,398.0,401.4305555522442,-3.4305555522441855,-0.7015451027084224,0.8209213814974319,2.0
Mid-Range,Center(C),8-16 ft.,354,155,0.4378531073446328,0.42563195476087473,310.0,301.3474239706993,8.65257602930069,2.444230516751607,0.8512639095217495,2.0
Mid-Range,Left Side Center(LC),16-24 ft.,499,221,0.44288577154308617,0.3981727236034517,442.0,397.37637815624475,44.623621843755245,8.942609587926903,0.7963454472069034,2.0
Mid-Range,Left Side(L),16-24 ft.,248,98,0.3951612903225806,0.39823051710282603,196.0,197.5223364830017,-1.5223364830017092,-0.6138453560490763,0.7964610342056521,2.0
Mid-Range,Left Side(L),8-16 ft.,856,357,0.41705607476635514,0.41792990124532,714.0,715.4959909319878,-1.495990931987763,-0.17476529579296296,0.83585980249064,2.0
Mid-Range,Right Side Center(RC),16-24 ft.,502,188,0.3745019920318725,0.40703031162460485,376.0,408.6584328711033,-32.65843287110329,-6.505663918546471,0.8140606232492097,2.0
Mid-Range,Right Side(R),16-24 ft.,176,64,0.36363636363636365,0.4067792348902334,128.0,143.18629068136215,-15.186290681362152,-8.62857425077395,0.8135584697804668,2.0
Mid-Range,Right Side(R),8-16 ft.,919,405,0.44069640914036995,0.42669800666522667,810.0,784.2709362506866,25.729063749313358,2.799680495028657,0.8533960133304533,2.0
Restricted Area,Center(C),Less Than 8 ft.,12052,8068,0.6694324593428477,0.6566170714655721,16136.0,15827.09789060615,308.90210939384997,2.563077575455111,1.3132341429311443,2.0
Right Corner 3,Right Side(R),24+ ft.,2312,910,0.393598615916955,0.4051973539699436,2730.0,2810.448847135529,-80.44884713552892,-3.4796214158965797,1.2155920619098308,3.0
